Temperature,Humidity
23,71
26,19
46,64
-1,86
-8,76
-40,40
-5,11
6,66
-21,22
18,38
-31,42
-4,3
30,68
52,5
19,64
-20,47
-11,55
14,71
44,92
-9,58
-37,14
41,44
-37,92
12,23
19,68
43,36
2,100
-13,1
-26,49
-22,43
-1,39
32,69
54,83
-22,41
-3,62
-8,30
45,35
-3,95
-8,59
-12,40
10,29
17,63
60,89
3,73
13,92
16,83
-12,66
31,47
-37,50
-27,89
42,28
-9,5
38,26
19,66
52,79
4,78
22,78
-27,2
22,40
14,10
-4,89
55,46
2,44
-24,54
-37,41
43,16
-29,22
29,6
1,32
-23,66
-35,93
-22,9
49,80
-17,92
3,10
12,78
48,75
-27,53
53,88
-32,79
32,39
6,61
-29,37
15,31
32,69
19,62
-13,36
-16,50
-18,52
-25,84
39,33
39,73
-31,61
-22,95
50,0
-40,47
-18,60
20,5
58,80
52,78
48,46
-18,96
-13,54
-32,47
-31,66
2,41
5,43
0,90
41,59
-27,31
14,16
46,11
17,84
34,24
51,19
7,72
-34,37
54,60
39,38
27,91
17,36
-40,11
9,85
42,29
9,13
44,40
-6,98
30,42
-8,37
57,63
12,58
-12,70
-40,59
57,70
31,48
-37,42
16,56
21,46
39,67
-25,7
-31,78
60,15
32,44
59,81
17,86
-18,5
36,66
18,8
8,0
-8,3
34,77
-17,87
2,33
-33,63
-12,75
7,90
-11,53
-36,57
-37,31
26,12
25,99
56,95
-2,59
-26,79
10,72
18,38
13,24
-40,48
-14,48
11,52
-35,82
42,23
20,74
-29,85
23,51
60,58
29,77
-5,79
40,35
21,53
23,3
58,24
-7,78
-19,44
46,76
54,77
25,20
53,18
-21,86
-17,66
48,54
48,90
-13,44
-30,63
2,59
5,8
11,87
-34,81
45,32
-13,87
-8,73
12,40
-39,21
5,18
7,34
-26,3
42,9
45,40
59,70
-36,59
46,2
-40,7
14,60
4,5
-21,35
50,56
-11,77
47,34
21,68
12,84
32,64
-33,49
55,82
17,30
32,62
44,83
-31,57
15,7
29,53
59,75
-23,76
57,84
-39,42
7,0
-26,1
10,30
-16,83
28,10
51,40
44,29
-24,67
57,71
-30,12
-5,55
-25,65
-1,67
-37,89
-13,37
-23,60
54,74
-27,4
-31,21
-6,88
-30,39
-37,96
32,55
36,21
5,44
46,71
40,24
41,58
12,48
-5,33
59,91
59,98
-21,76
-4,54
-26,75
-32,8
-24,57
15,16
-29,42
-11,28
26,41
12,69
-18,46
34,50
-36,69
-33,25
-8,29
-30,12
-19,46
-25,40
33,82
-8,93
10,31
-10,78
-39,14
-38,23
57,1
32,9
10,63
-15,47
9,17
5,47
-28,21
-40,78
20,99
-13,5
-29,3
-28,56
34,30
17,39
23,58
39,51
-17,55
22,72
58,39
-37,34
-24,25
51,15
10,74
18,8
33,25
-13,86
-2,92
51,79
-5,40
58,39
28,67
-9,72
-2,93
34,89
-16,25
-9,59
-3,13
-3,52
44,52
-28,85
6,7
52,74
37,99
35,87
19,28
34,8
9,60
39,10
51,82
-10,99
-11,79
-6,84
-1,80
17,15
53,13
-4,9
41,25
60,26
40,39
57,62
-10,16
-13,17
40,53
27,6
5,27
-19,6
-6,29
16,67
23,60
49,41
48,93
-19,46
52,93
-11,21
31,57
-40,83
-19,8
28,59
22,46
29,0
-33,49
43,45
18,9
49,41
-16,79
43,15
-8,57
0,0
-39,64
39,8
-38,9
-6,79
5,85
50,90
-23,8
16,45
23,42
9,31
-34,16
47,86
-15,75
-33,18
13,77
-10,63
1,98
29,19
10,93
-11,64
-32,35
8,44
17,30
17,34
-24,56
8,33
4,94
60,73
-33,22
18,14
-3,30
-8,91
0,7
19,83
-32,95
15,58
36,28
38,48
4,62
-11,73
25,56
10,37
-37,46
56,10
10,50
46,90
-12,10
55,78
-6,20
60,76
-5,81
10,6
-17,13
10,3
33,17
15,56
-30,92
9,6
-24,20
24,51
13,17
36,48
34,93
-5,89
50,23
-36,39
18,4
17,89
52,42
36,8
45,98
52,26
2,8
-30,89
-5,70
17,74
51,73
-39,46
-37,53
-30,77
-22,8
-22,40
22,17
55,24
15,6
36,67
-4,89
59,57
42,34
34,88
44,52
25,17
9,45
-9,68
18,75
-38,17
-10,85
-39,84
-14,26
53,80
-27,91
59,56
24,44
56,70
40,46
54,30
-32,62
51,83
-11,77
-26,97
-4,41
-24,14
-38,75
-26,92
5,29
37,44
16,28
3,0
32,66
-10,50
19,81
-16,43
13,1
-27,73
60,19
18,53
-31,85
42,93
50,82
8,68
53,42
-29,67
24,79
30,37
5,73
34,56
46,56
35,95
0,72
25,9
21,77
-35,95
-8,89
-6,84
4,35
5,78
52,23
13,64
51,25
50,38
-28,74
12,23
16,61
-31,90
59,20
1,85
54,55
53,69
43,31
47,46
47,70
17,81
-7,35
17,24
25,37
-20,54
29,15
6,6
44,86
-18,52
-25,30
11,32
41,56
-14,83
-2,61
27,100
5,67
27,90
37,27
39,52
-7,51
-38,92
20,77
-27,37
25,75
-25,45
5,61
21,73
-19,59
16,61
-26,87
-16,35
45,45
22,35
14,41
-1,87
-1,70
35,56
24,90
27,65
25,14
-22,72
28,44
57,80
53,80
3,38
-18,98
-35,5
-30,51
13,22
-8,75
6,9
-11,86
58,11
-34,40
-39,81
-9,94
-12,61
32,38
58,20
40,41
-34,99
-6,15
-22,56
33,43
45,3
38,78
35,32
24,15
2,11
45,78
60,50
-31,46
1,66
59,48
-29,63
-17,25
13,91
39,59
-25,71
-40,26
46,68
9,37
54,97
24,77
11,83
-23,24
28,92
-6,71
1,85
54,51
21,19
21,24
2,3
9,13
-28,6
-35,7
-31,94
-7,68
4,34
14,29
18,99
-7,15
-13,2
-32,55
47,94
-19,88
-8,90
19,29
8,32
-10,93
25,70
60,49
-1,94
19,18
-23,21
59,76
17,43
-26,66
41,69
22,98
-39,38
37,12
5,59
28,76
47,52
-38,75
29,80
20,83
29,63
44,1
58,20
-1,0
-27,61
-5,85
42,23
43,11
1,59
20,31
-14,73
53,65
9,20
54,80
26,13
-26,50
53,74
43,76
-19,84
25,63
40,95
33,21
4,61
11,85
44,80
48,97
53,91
15,65
-35,19
58,99
28,47
-18,38
59,2
-15,83
-4,33
-22,42
34,20
-17,86
45,85
-28,42
14,53
-15,79
31,36
-14,87
-32,55
48,14
24,59
8,6
27,89
21,32
-39,33
58,91
52,29
33,10
-7,15
28,13
-9,42
-33,93
14,48
56,2
49,85
33,66
25,24
56,93
45,98
48,10
49,67
22,11
22,21
-32,70
-38,70
-30,39
-13,8
-4,23
-32,0
38,67
-18,79
-35,25
7,18
47,11
24,71
3,12
-9,25
48,47
2,100
10,67
-25,66
24,54
-18,26
-11,83
50,36
40,49
-36,49
-4,60
-40,84
42,10
5,58
-12,29
45,52
-39,27
33,0
24,73
26,34
57,84
-17,78
-4,60
22,30
36,53
-16,84
-17,62
-2,98
43,36
-8,44
-32,10
1,22
-28,18
50,90
-24,5
-30,14
-24,38
56,96
-38,64
28,74
7,56
27,16
38,5
21,15
-33,34
55,70
52,38
19,80
14,65
42,34
56,12
34,65
-34,85
60,35
0,1
15,85
-23,76
0,28
26,75
-11,59
-20,29
43,47
50,42
52,48
-31,89
48,89
43,0
48,35
46,67
31,27
-20,97
59,47
28,52
-34,39
1,82
-11,72
54,95
32,25
-15,82
40,65
-36,40
35,96
29,78
-40,82
-6,89
-8,37
35,39
21,80
-26,40
-11,93
43,43
44,44
-18,100
59,72
-14,2
22,8
35,1
-4,99
60,48
-7,3
27,87
-2,91
60,45
10,65
-6,64
19,72
41,18
32,39
51,48
53,5
20,18
-5,25
57,9
-24,57
-3,14
29,14
27,52
-24,11
20,20
-33,33
19,54
58,64
21,28
16,72
37,54
-9,20
-10,3
48,33
5,72
46,83
-3,71
17,74
-25,72
36,21
11,69
3,23
4,58
-21,54
-27,75
24,28
-15,22
-18,47
-34,25
49,2
7,23
-9,34
29,23
-18,44
-2,84
3,86
30,48
-9,2
-23,77
29,62
11,78
35,28
12,95
-17,19
19,5
-35,22
28,36
-19,42
34,93
34,19
40,10
30,72
-23,69
7,76
11,93
-36,7
-13,36
40,93
-8,90
-6,44
-39,0
-35,69
21,13
13,15
38,52
-40,21
-29,58
-27,22
-32,11
47,55
5,18
28,56
-1,94
7,53
25,92
26,85
17,97
-13,79
-23,22
8,65
-32,3
45,18
43,26
17,92
15,90
1,31
28,56
1,49
-1,18
-9,27
-32,5
17,39
-23,60
-26,79
28,37
21,91
6,55
-34,3
-23,73
28,63
7,19
-1,43
37,26
41,17
-11,69
5,14
-40,7
26,73
24,25
-15,19
12,66
-17,21
41,86
-11,82
16,0
-9,86
2,60
-7,64
-14,51
13,32
-2,31
0,65
-24,10
-39,13
51,86
57,23
49,99
35,10
-34,78
-9,98
13,98
-39,4
58,33
19,51
46,78
21,25
-28,11
27,35
8,63
-40,35
57,92
40,32
41,6
32,72
24,17
-31,17
-4,75
-12,92
3,84
-34,71
-34,26
-6,41
34,9
-28,9
39,30
46,30
52,70
10,40
34,53
21,33
43,25
14,15
-24,95
48,91
30,89
20,51
37,100
22,76
59,81
44,60
-18,26
-37,41
-33,60
27,72
-35,34
-9,52
22,26
51,46
1,24
50,29
-14,90
60,26
-14,63
55,82
-14,6
60,54
32,73
-36,56
29,93
56,98
51,98
9,49
42,26
17,71
-35,30
-20,11
-22,50
23,37
56,27
-8,45
13,23
-27,71
13,28
42,86
14,55
57,32
-33,25
60,3
6,66
19,82
22,41
-19,55
16,83
-17,21
-39,22
16,74
50,87
5,94
-21,64
60,90
15,43
8,19
60,28
-21,82
37,51
-16,72
32,45
44,54
10,9
-5,20
-4,85
50,66
-39,38
24,35
30,96
56,56
-22,100
26,84
9,39
-33,41
17,88
20,31
38,3
13,42
18,37
41,58
18,80
57,63
-6,99
-26,65
17,45
17,44
-26,24
-11,100
22,37
43,13
20,36
-9,81
18,95
30,26
-8,42
37,19
6,26
25,11
-27,61
-15,4
-16,47
48,56
3,94
-14,15
24,27
46,64
-30,91
-9,80
-34,54
-32,22
-22,91
-30,45
55,75
9,14
-40,50
40,93
35,13
-16,7
-37,70
-22,61
51,58
56,74
-17,84
-13,55
51,48
-31,27
23,61
19,3
19,100
30,15
39,51
-30,61
26,1
12,23
-5,61
56,97
3,35
-38,69
46,92
11,5
17,89
-20,23
35,37
-9,0
19,48
12,56
57,55
56,53
56,32
58,7
-14,20
-24,61
-20,54
-5,18
-38,70
0,82
9,62
57,89
13,43
-11,25
58,55
57,36
-34,91
-4,32
-19,8
-22,100
-15,34
-32,22
-25,79
29,67
-4,51
-38,86
19,2
1,84
-14,61
44,85
3,21
